,date,000037.OF,003039.OF,003040.OF,003223.OF,003819.OF,004020.OF,004027.OF,004028.OF,006670.OF,006869.OF,006970.OF,007396.OF,007598.OF,007778.OF,013449.OF,median,ma4
0,2022-01-26,2.595092683390162,2.0166750040341634,1.9727621891450675,3.9563860619731734,2.3657320295250823,1.1680056670042687,2.167634305451192,2.143110335893593,2.8389945514908863,2.3701711951722277,5.713498740120834,2.4697474977577625,2.1803600221950874,2.6023872390528187,2.5812012910148385,2.3701711951722277,
1,2022-01-27,2.428008783157373,2.0324046247305585,2.01226309751503,3.5198571024615415,2.116104150715169,1.0448992696430057,1.991068666675365,1.929529029683114,2.8794944103011164,2.4883398432812243,5.701273221223359,2.5354500960808686,2.3201178111378944,2.5174720026540673,2.407637498086351,2.407637498086351,
2,2022-01-28,2.7726492171006463,1.9891142139907627,1.989295995732899,4.113907803047034,2.9083092455234105,1.4660805850198306,2.3479289327577284,2.260161428184872,2.88471631192425,2.4014643885221827,5.320761688875789,2.410933498113234,2.2420469047903495,3.049061957799232,2.759602472909371,2.410933498113234,
3,2022-02-07,2.5966304660771082,2.059574385407247,2.0755308697869297,3.54675395273329,2.2973340553172696,1.1213282603883732,1.8934129955475003,1.956035932131736,2.7923310089919386,2.4993769348507464,5.047079991162257,2.4611630068685155,2.227321825368065,2.672582504044445,2.5794268296663487,2.4611630068685155,2.4124762995600824
4,2022-02-08,2.594523750254204,2.0295301946566724,2.006917031042669,3.9979922589571384,0.0,1.196909261168652,1.8963378428433424,2.174932989017586,0.0,2.472522342501952,5.077103571647572,2.466750358535701,2.3657092249041667,2.676057387891204,2.5773974362249903,2.3657092249041667,2.4113608069930668
5,2022-02-09,2.7294919750909323,0.0,0.0,4.260202742251481,0.0,1.470613193754366,2.2928127282905746,2.2669890546151965,0.0,2.4731889458778307,5.784534300574785,2.467004594698984,0.0,2.8296483247974233,2.7091560935437653,2.2928127282905746,2.3826546145441228
6,2022-02-10,2.7296513122717063,2.0101013733751274,1.9678223034791908,4.239951396892141,0.0,1.472227771713743,2.265559853387398,2.239227697378016,2.8272393830813956,2.37253597550754,5.7087204289724545,0.0,2.1682346232668714,2.8751651871780957,2.712973173946827,2.265559853387398,2.3463112033626636
7,2022-02-11,2.6886261498409456,0.0,2.1220328411231915,4.669031895408417,2.8498327585865826,1.4945224853333565,2.2568620603964025,2.1857459567871134,2.8735154547128823,2.580028047623286,5.366801624075903,2.6858833544158793,2.3892858033850417,3.008685877123638,2.6769113817837575,2.6769113817837575,2.4002482970914745
8,2022-02-14,2.588333265836594,2.008972776049232,1.9663935116510496,4.2194341321756195,2.6285994848235728,1.5332519651116145,2.2745865909470004,2.2496014483565574,2.830449164319169,2.374083403091082,5.62170051624343,2.372352572294949,2.169294974596336,2.8958398499121687,2.568672931164989,2.374083403091082,2.402341841638203
9,2022-02-15,2.659905779652334,1.9858867159656086,1.9863179203469823,4.4577310865285265,2.692502754228701,1.226084122360317,2.3030973807929813,2.2780045806807547,2.8777359096481945,2.4080880362156503,5.119795720613183,2.470067605984352,2.23442146034189,2.9241508897864867,2.6496548890018836,2.470067605984352,2.4466555610616476
10,2022-02-16,2.6487671046702603,2.0058555596057532,1.9624479842984264,4.1787944212602595,2.5934553476414126,1.206581782259513,2.2391450100194943,2.221340327043051,2.8249380126858057,2.3666376776614815,5.630530742260771,2.456731283576113,2.1680223814470025,2.8648571325222996,2.6354463528896153,2.456731283576113,2.494448418608826
11,2022-02-17,2.488761943753717,0.0,0.0,3.220345161025581,2.2799597115954517,1.0499757769656153,1.8795354351830895,1.815986965091055,2.9133184378523067,2.5701171892558454,4.8834061080683835,2.4345554215431955,2.2667247580442327,2.6135908724608776,2.473511498879917,2.4345554215431955,2.4338594285486854
12,2022-02-18,2.525115202350129,2.0457637909638544,0.0,3.992168800295055,2.5685108964037924,1.5083710812863096,2.2081754565668934,2.151217887061757,2.779728196020686,2.5917264992858544,6.054144570386027,2.4693488976728375,2.2729241108941034,2.758620974673712,2.507965095861732,2.507965095861732,2.467329851741348
13,2022-02-21,2.522398587214358,0.0,0.0,0.0,2.566105928410086,1.5065627368561656,2.2059766283554723,2.1490956299802173,2.86033370662114,2.5631480128408026,6.052435703660966,2.6725713552267187,2.371603065393355,2.7559671585580277,2.5052675661250814,2.5052675661250814,2.4761298417765305
14,2022-02-22,2.666700661363307,2.088418823296139,2.102581854458831,4.103314958398082,2.5769934682274642,1.513463915742023,2.240939912656456,2.3064615843146337,2.902812181565194,2.5747782444517444,6.050290373886878,2.685099708188138,2.400127959846554,2.8293526053282543,2.6565725511376796,2.5769934682274642,2.506195387939368
15,2022-02-23,2.5188943329042197,2.0897014939869063,2.0774421234507967,3.98384454369602,2.5628117761181515,1.5047421614846521,2.203183636946623,2.302924705011512,2.8158321389666288,2.4728586300698883,5.433718782534675,2.4341869827962346,2.260735459713859,2.8691696092123316,2.5017921740204145,2.4728586300698883,2.5157711900710416
16,2022-02-24,2.521335587960629,1.969116586802937,1.989781559932174,4.270641927501786,2.700860294745133,1.211081505969878,2.287848129626184,2.2598755704427353,2.836392566137047,2.387947825681592,4.89459608338889,2.435189194844906,2.2070793030231126,2.829757121226436,2.5001741245590656,2.435189194844906,2.497577214816835
17,2022-02-25,2.635179162108854,2.093720191391157,2.1072672305404647,4.314349624226404,2.6741478392260305,1.220168925265388,2.287083454857367,2.2620427142538193,3.187495966656492,3.1457819012664663,5.580498415566701,2.6380809592718317,3.030418189090476,2.903960731962368,2.6249986051827,2.6380809592718317,2.5307805631035225
18,2022-02-28,2.522301534446509,1.9895041153764468,0.0,3.80974526081014,2.709806182118035,1.335372674017457,2.298915097674754,2.2348885012180246,2.849781963346532,2.4506792369262693,5.265345820077257,2.4365880807751705,2.2827795319662885,2.8388263218790235,2.5006361304355225,2.4506792369262693,2.4992020052782236
19,2022-03-01,2.561989977266,0.0,2.0186676779275343,4.347246600805607,2.728363030779855,1.4442136882838161,2.310048757647902,2.273220479988529,2.8572097322518846,2.4244471343701943,5.139318537799118,2.4420484593486407,2.264684835918255,2.854028320890115,2.5389939838595765,2.4420484593486407,2.491499462597912
20,2022-03-02,2.4779950143299194,0.0,1.874228847964047,3.4696385633052067,2.2141875049849746,1.143597215962279,1.8634563225464456,2.209534220535481,2.7577328961787533,2.523483163868853,5.429930112400466,2.259895409767472,2.097141874823208,2.4970642493927295,2.458293600301036,2.259895409767472,2.4476760163285536
21,2022-03-03,2.5025769241656306,0.0,1.8794509206716277,3.5607583928829616,2.33115405159362,1.1441948297611781,2.09685711268424,2.2220153528748314,2.6087817859024445,2.1965109765737663,5.683654117925647,2.209950252790105,2.071280063054639,2.7907497390059546,2.476984121534472,2.2220153528748314,2.343659614729303
22,2022-03-04,2.4550780984667657,1.9052346712111436,1.8894190664999342,3.469458655223969,2.31095202036094,1.146063733807089,2.074504052048053,2.2093828746198567,2.6091357405006765,2.2078706817336116,5.6469276876647205,2.211081082295262,2.07194278621575,2.7542671039385107,2.4334094671302537,2.211081082295262,2.2837600760715517
23,2022-03-07,2.4542502613493196,1.9025788930091676,1.8866937247062447,3.4667737715533504,2.309879085062042,1.147226085669998,2.073470960171239,2.2083183339616315,2.820424157624254,2.489582488273394,5.296038045370791,2.2088673748043277,2.069540216619751,2.752890586011139,2.432578655092507,2.309879085062042,2.250717732499902
24,2022-03-08,2.49109473884356,2.009074306706201,1.9635167579878052,3.214191234964866,2.2872106658948774,1.0603066705193134,1.8896665812026778,1.8258958455829117,2.8124169506868015,2.36073817861129,5.121447789797815,2.4525210057548685,2.1668085717890664,2.6180064172413875,2.476154192712902,2.36073817861129,2.275928424710856
25,2022-03-09,2.433799804344919,1.7907528373733863,0.0,3.4700286167119203,2.187863207947629,1.1262619361776722,1.9770927224080999,1.9162796792258612,2.686732466479963,2.2798948063116744,5.982835314472238,2.0490657997445294,0.0,2.488078483792144,2.410944293041027,2.187863207947629,2.267390388479056
26,2022-03-10,2.4310667756518987,0.0,0.0,3.559393715328212,2.0984121422158766,1.040744231497989,1.8478252520447462,1.779342196370086,3.2200606729013304,3.2071049131805855,6.037461857928022,2.0852708641306856,3.1402914858268898,2.424319342388298,2.4102687152134084,2.4102687152134084,2.3171872967085925
27,2022-03-11,2.3932155781211844,1.9207524607647066,0.0,3.4644059079868637,2.055894932295614,1.0729371849685916,1.8166458475725142,1.914325126674003,2.769278464914767,2.5467189816097386,5.706459198480868,2.2365346639124732,2.2140432744982625,2.385031018263664,2.3732921123464474,2.2365346639124732,2.2988511914212
28,2022-03-14,2.5034700010798465,2.0227984454559462,0.0,3.80501030607687,2.617688303071322,1.2257458976833582,2.305162011286336,2.276349379007066,2.915791739974107,2.7399019529493858,6.033265040575396,2.4671539813311525,2.366278866474303,2.801303502608319,2.4841756957486987,2.4841756957486987,2.3297105707055525
29,2022-03-15,2.6981232330833347,1.9839074541276274,1.9811674500671261,4.077172364933246,2.699972702353925,1.458293166355702,2.182241882981329,2.2365361625679308,2.8659469382084244,2.392228594022818,5.248424476856041,2.3941615169649406,2.2350772016282647,2.970180534072389,2.6902848110312485,2.3941615169649406,2.38128514795988
30,2022-03-16,2.746169901415255,2.0931146326178407,2.10712871036156,4.743446401762633,2.8777354427110833,1.273871404916362,2.419249184255442,2.3700992254322846,2.902284425116978,2.5773565822707774,5.011600017043622,2.690150007642722,2.402568490873922,3.041185327675417,2.736771846327276,2.690150007642722,2.4512554710672085
31,2022-03-17,2.7191920266344884,2.1392769257809663,2.120736294594261,4.429073673125482,2.709080833272094,1.2569058405144937,2.356832959861383,2.314583306586437,2.892002095579307,2.5771312528435595,6.421561585998623,2.6313557278564645,2.308419370442418,2.9038432939535994,2.6998245538174226,2.6313557278564645,2.5499607370532065
32,2022-03-18,2.5125506316921467,1.8684821766426656,1.8582646747502551,3.1891928724674314,2.18565046472532,1.124831276681535,2.0376009609935295,2.1760414455222117,2.55573374442708,2.1691357316464597,5.33911796476556,2.1313035053495555,1.9901443058326405,2.6225009232831202,2.4954437166332992,2.1760414455222117,2.4729271744965846
33,2022-03-21,2.632751559945575,0.0,0.0,4.081269751105582,2.825408413938009,1.1837877956030352,2.3413758512322693,2.1484617761833626,2.8347140889095694,2.378397652763902,5.116201677677694,2.3913287673115646,2.2076003438389473,3.0335433273465124,2.6167486838175744,2.3913287673115646,2.4722189870832407
34,2022-03-22,2.554629642297967,0.0,0.0,3.269883151610231,2.3378972715223725,1.4726492911074411,1.9234686996839687,1.8519304343979655,2.812322909783878,2.4936428334985155,5.665786504914347,2.5538233257398275,2.283615307210986,2.6494449297670406,2.5378719262924214,2.4936428334985155,2.423092193547189
35,2022-03-23,2.5464071623016458,0.0,0.0,0.0,2.433260033850768,1.5166324501729065,2.1212576502506826,2.2456295704486013,2.803185803599807,2.5740814821585665,5.432392237735952,2.238392694765122,2.1218275537547515,2.8859351717746575,2.5279218561510217,2.2456295704486013,2.3266606541952233
36,2022-03-24,2.5425027048766413,0.0,0.0,3.9723932084501055,2.5836772141690076,1.5380076580209894,2.22650633945191,2.320409995217263,2.790645826219084,2.44855182507122,5.453312359902928,2.4373509330355336,2.2448939110781954,2.8844085306236336,2.5255650452248157,2.44855182507122,2.3947882490824752
37,2022-03-25,2.49989827173211,0.0,0.0,0.0,2.2385913228117547,1.0733221109350346,1.9331955887281613,1.8613662785515883,3.2076094385613305,3.2348337939076326,5.996195251906631,2.092869184290115,3.111385425247852,2.6584834729380593,2.4803820737340567,2.2385913228117547,2.356603887957523
38,2022-03-28,2.5730154632646394,0.0,0.0,4.086046910312743,2.4221290953003596,1.469256477980346,2.2021544126396293,2.2537227176178067,2.8436613230538432,2.365422425647437,5.996402424765826,2.3914767923109297,2.2157546031627224,2.906326843667765,2.5598595418941033,2.3914767923109297,2.3310623776606265
39,2022-03-29,2.714317967697663,0.0,0.0,4.543148076622306,2.7603802678195613,1.5844933886805268,2.359402628163439,2.322920602963142,2.9094069883175746,2.5923091456233163,5.009044815971361,2.706089759526418,2.4167002207097927,2.977393743165072,2.7022253950230115,2.7022253950230115,2.4452113338042287
40,2022-03-30,2.644112110285865,0.0,0.0,4.29989819524937,2.6839054905939017,1.2688503072958321,2.360559338850989,2.319107056653525,2.8440220488313956,2.570224996392221,6.41075579819292,2.672876391185236,2.3778376897888718,2.856860682458806,2.629514962268218,2.629514962268218,2.4904521181034784
